school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FLOORBALL,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ORCHESTRA - CHINESE,CHINESE ORCHESTRA
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,SYMPHONIC BAND
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,DRAMA
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND ORATORICAL SOCIETY,DEBATE
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,OUTDOOR ACTIVITIES CLUB,OUTDOOR ADVENTURE (ODAC)
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DANCE SOCIETY,DANCE
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,ROBOTICS CLUB,COMPUTING & ROBOTICS
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,MEDIA RESOURCE CLUB,MEDIA
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,SERVICE LEARNING CLUB,SERVICE LEARNING
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,OTHERS,STUDENTS' COUNCIL,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,AIR RIFLE / SHOOTING,SHOOTING
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,CANOEING/ROWING/DRAGON BOAT,CANOEING
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,CROSS COUNTRY,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FENCING,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,JUDO,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,RUGBY,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SWIMMING,SWIMMING / BIATHLON
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TRACK & FIELD,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TEN-PIN BOWLING,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,GOLF,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUITAR,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DANCE - MODERN,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND ORATORICAL SOCIETY,ORATORICAL SOCIETY
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,FIRST AID CLUB,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,INTERACT CLUB,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LEGION OF MARY,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,ST VINCENT DE PAUL SOCIETY,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,STUDENTS' COUNCIL,STUDENT COUNCIL
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,CLUB NEXUS,NEXUS SOCIETY
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,GEOGRAPHY/ENVIRONMENT SOCIETY,ENVIRONMENTAL SCIENCE SOCIETY
ANGLO-CHINESE JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,AIR RIFLE / SHOOTING,SHOOTING
ANGLO-CHINESE JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
ANGLO-CHINESE JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
ANGLO-CHINESE JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,CANOEING/ROWING/DRAGON BOAT,CANOEING & DRAGONBOAT
ANGLO-CHINESE JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,CROSS COUNTRY,na
